"up.or.downregulated","subnetwork","GO.ID","Term","Annotated","Significant","Expected","classicFisher","sig_ids"
"upregulated","whole network","GO:0009644","response to high light intensity",65,4,1.25,0.03614,"AT2G30950;AT2G41430;AT3G61470;AT4G08920"
"upregulated","whole network","GO:0006301","postreplication repair",16,2,0.31,0.03687,"AT1G16890;AT1G70660"
"upregulated","whole network","GO:0030497","fatty acid elongation",16,2,0.31,0.03687,"AT4G14070;AT4G36830"
"upregulated","whole network","GO:1900057","positive regulation of leaf senescence",16,2,0.31,0.03687,"AT3G19290;AT3G29035"
"upregulated","whole network","GO:0170033","L-amino acid metabolic process",235,9,4.51,0.03814,"AT1G03090;AT1G10070;AT1G80360;AT3G22460;AT4G17830;AT4G34030;AT4G37930;AT5G46180;AT5G53850"
"upregulated","whole network","GO:0006351","DNA-templated transcription",2118,52,40.62,0.0382,"AT1G02220;AT1G54160;AT1G63020;AT1G67030;AT1G67260;AT1G74660;AT1G77920;AT2G20570;AT2G28810;AT2G33550;AT2G37260;AT2G40030;AT2G40670;AT2G41900;AT2G42040;AT2G46590;AT2G46790;AT2G47070;AT2G47890;AT3G01470;AT3G02150;AT3G04930;AT3G05690;AT3G09600;AT3G14230;AT3G15510;AT3G16770;AT3G19290;AT3G29035;AT3G47500;AT3G47600;AT3G54620;AT3G58070;AT3G60400;AT4G00050;AT4G00870;AT4G17880;AT4G31550;AT4G36780;AT4G38340;AT4G39100;AT5G06800;AT5G22290;AT5G46830;AT5G47370;AT5G50010;AT5G57660;AT5G60850;AT5G61420;AT5G61850;AT5G65210;AT5G65320"
"upregulated","whole network","GO:0006623","protein targeting to vacuole",39,3,0.75,0.03847,"AT2G36680;AT2G45980;AT3G53720"
"upregulated","whole network","GO:0030422","siRNA processing",39,3,0.75,0.03847,"AT1G63020;AT1G69440;AT2G40030"
"upregulated","whole network","GO:0035194","regulatory ncRNA-mediated post-transcrip...",39,3,0.75,0.03847,"AT1G63020;AT1G69440;AT2G40030"
"upregulated","whole network","GO:0043436","oxoacid metabolic process",981,27,18.81,0.03887,"AT1G03090;AT1G09240;AT1G10070;AT1G80360;AT2G26350;AT2G33150;AT2G46590;AT3G10870;AT3G11670;AT3G15290;AT3G19290;AT3G22460;AT3G51840;AT3G52430;AT4G14070;AT4G16210;AT4G17830;AT4G34030;AT4G35220;AT4G36830;AT4G37930;AT4G37980;AT5G12200;AT5G43330;AT5G46180;AT5G53850;AT5G61420"
"upregulated","whole network","GO:0051494","negative regulation of cytoskeleton orga...",17,2,0.33,0.04127,"AT2G43800;AT5G07780"
"upregulated","whole network","GO:1902904","negative regulation of supramolecular fi...",17,2,0.33,0.04127,"AT2G43800;AT5G07780"
"upregulated","whole network","GO:0006355","regulation of DNA-templated transcriptio...",1990,49,38.16,0.04173,"AT1G02220;AT1G54160;AT1G67030;AT1G67260;AT1G74660;AT1G77920;AT2G20570;AT2G28810;AT2G33550;AT2G37260;AT2G40670;AT2G41900;AT2G46590;AT2G46790;AT2G47070;AT2G47890;AT3G01470;AT3G02150;AT3G04930;AT3G05690;AT3G09600;AT3G14230;AT3G15510;AT3G16770;AT3G19290;AT3G29035;AT3G47500;AT3G47600;AT3G54620;AT3G58070;AT3G60400;AT4G00050;AT4G00870;AT4G17880;AT4G31550;AT4G36780;AT4G38340;AT4G39100;AT5G06800;AT5G22290;AT5G46830;AT5G47370;AT5G50010;AT5G57660;AT5G60850;AT5G61420;AT5G61850;AT5G65210;AT5G65320"
"upregulated","whole network","GO:0006082","organic acid metabolic process",988,27,18.95,0.04181,"AT1G03090;AT1G09240;AT1G10070;AT1G80360;AT2G26350;AT2G33150;AT2G46590;AT3G10870;AT3G11670;AT3G15290;AT3G19290;AT3G22460;AT3G51840;AT3G52430;AT4G14070;AT4G16210;AT4G17830;AT4G34030;AT4G35220;AT4G36830;AT4G37930;AT4G37980;AT5G12200;AT5G43330;AT5G46180;AT5G53850;AT5G61420"
"upregulated","whole network","GO:2001141","regulation of RNA biosynthetic process",1993,49,38.22,0.04265,"AT1G02220;AT1G54160;AT1G67030;AT1G67260;AT1G74660;AT1G77920;AT2G20570;AT2G28810;AT2G33550;AT2G37260;AT2G40670;AT2G41900;AT2G46590;AT2G46790;AT2G47070;AT2G47890;AT3G01470;AT3G02150;AT3G04930;AT3G05690;AT3G09600;AT3G14230;AT3G15510;AT3G16770;AT3G19290;AT3G29035;AT3G47500;AT3G47600;AT3G54620;AT3G58070;AT3G60400;AT4G00050;AT4G00870;AT4G17880;AT4G31550;AT4G36780;AT4G38340;AT4G39100;AT5G06800;AT5G22290;AT5G46830;AT5G47370;AT5G50010;AT5G57660;AT5G60850;AT5G61420;AT5G61850;AT5G65210;AT5G65320"
"upregulated","whole network","GO:0098754","detoxification",100,5,1.92,0.04348,"AT1G20630;AT1G64710;AT3G49580;AT5G24655;AT5G51890"
"upregulated","whole network","GO:0051258","protein polymerization",41,3,0.79,0.04365,"AT2G43800;AT4G13510;AT5G07780"
"upregulated","whole network","GO:0006206","pyrimidine nucleobase metabolic process",18,2,0.35,0.04585,"AT2G03530;AT5G12200"
"upregulated","whole network","GO:0051238","sequestering of metal ion",18,2,0.35,0.04585,"AT2G40300;AT5G01600"
"upregulated","whole network","GO:0008154","actin polymerization or depolymerization",42,3,0.81,0.04636,"AT2G43800;AT5G07780;AT5G59890"
"upregulated","whole network","GO:0005982","starch metabolic process",71,4,1.36,0.04749,"AT1G03310;AT2G21590;AT5G26570;AT5G39790"
"upregulated","whole network","GO:0006826","iron ion transport",71,4,1.36,0.04749,"AT2G40300;AT5G01600;AT5G03260;AT5G60020"
"upregulated","whole network","GO:0042537","benzene-containing compound metabolic pr...",71,4,1.36,0.04749,"AT2G33150;AT3G10870;AT3G52430;AT4G35220"
"upregulated","whole network","GO:0044283","small molecule biosynthetic process",652,19,12.5,0.04761,"AT1G09240;AT1G10070;AT1G78620;AT1G80360;AT2G33150;AT2G46590;AT3G11670;AT3G16050;AT3G22460;AT3G52430;AT4G14070;AT4G17830;AT4G36830;AT4G37930;AT4G39800;AT5G12200;AT5G13930;AT5G46180;AT5G53850"
"upregulated","geometry","GO:0043207","response to external biotic stimulus",1064,32,10.15,8e-09,"AT1G08720;AT1G21250;AT1G49050;AT1G69440;AT1G70690;AT1G79670;AT2G01650;AT2G14560;AT2G33550;AT2G40030;AT2G41430;AT3G16640;AT3G16770;AT3G25020;AT3G51430;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G15760;AT4G23130;AT4G23270;AT4G29050;AT4G31550;AT4G37930;AT5G10600;AT5G13290;AT5G43470;AT5G46180;AT5G59890;AT5G60600;AT5G66190"
"upregulated","geometry","GO:0051707","response to other organism",1064,32,10.15,8e-09,"AT1G08720;AT1G21250;AT1G49050;AT1G69440;AT1G70690;AT1G79670;AT2G01650;AT2G14560;AT2G33550;AT2G40030;AT2G41430;AT3G16640;AT3G16770;AT3G25020;AT3G51430;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G15760;AT4G23130;AT4G23270;AT4G29050;AT4G31550;AT4G37930;AT5G10600;AT5G13290;AT5G43470;AT5G46180;AT5G59890;AT5G60600;AT5G66190"
"upregulated","geometry","GO:0009607","response to biotic stimulus",1066,32,10.17,8.4e-09,"AT1G08720;AT1G21250;AT1G49050;AT1G69440;AT1G70690;AT1G79670;AT2G01650;AT2G14560;AT2G33550;AT2G40030;AT2G41430;AT3G16640;AT3G16770;AT3G25020;AT3G51430;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G15760;AT4G23130;AT4G23270;AT4G29050;AT4G31550;AT4G37930;AT5G10600;AT5G13290;AT5G43470;AT5G46180;AT5G59890;AT5G60600;AT5G66190"
"upregulated","geometry","GO:0044419","biological process involved in interspec...",1076,32,10.27,1e-08,"AT1G08720;AT1G21250;AT1G49050;AT1G69440;AT1G70690;AT1G79670;AT2G01650;AT2G14560;AT2G33550;AT2G40030;AT2G41430;AT3G16640;AT3G16770;AT3G25020;AT3G51430;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G15760;AT4G23130;AT4G23270;AT4G29050;AT4G31550;AT4G37930;AT5G10600;AT5G13290;AT5G43470;AT5G46180;AT5G59890;AT5G60600;AT5G66190"
"upregulated","geometry","GO:0006952","defense response",1020,30,9.73,4.1e-08,"AT1G08720;AT1G15890;AT1G21250;AT1G49050;AT1G63350;AT1G69440;AT1G70690;AT2G01650;AT2G14560;AT2G40030;AT3G16640;AT3G25020;AT3G44630;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G23130;AT4G23270;AT4G29050;AT4G31550;AT4G37930;AT5G10600;AT5G13290;AT5G18370;AT5G43470;AT5G46180;AT5G59890;AT5G60600;AT5G66190"
"upregulated","geometry","GO:0098542","defense response to other organism",809,26,7.72,6.4e-08,"AT1G08720;AT1G21250;AT1G49050;AT1G69440;AT1G70690;AT2G01650;AT2G14560;AT2G40030;AT3G16640;AT3G25020;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G23130;AT4G23270;AT4G29050;AT4G31550;AT4G37930;AT5G10600;AT5G13290;AT5G43470;AT5G46180;AT5G59890;AT5G60600;AT5G66190"
"upregulated","geometry","GO:0006950","response to stress",3208,60,30.61,1.1e-07,"AT1G08720;AT1G15890;AT1G16890;AT1G21250;AT1G49050;AT1G63350;AT1G69440;AT1G70660;AT1G70690;AT1G71040;AT1G80420;AT2G01650;AT2G14560;AT2G17520;AT2G25080;AT2G33150;AT2G33590;AT2G40030;AT2G40300;AT2G41430;AT2G43350;AT2G46590;AT3G12040;AT3G12260;AT3G12360;AT3G14230;AT3G16640;AT3G16770;AT3G25020;AT3G29035;AT3G44630;AT3G48170;AT3G52430;AT3G61470;AT4G02420;AT4G08920;AT4G14400;AT4G17250;AT4G23130;AT4G23270;AT4G27450;AT4G29050;AT4G31550;AT4G34100;AT4G35770;AT4G37930;AT5G10600;AT5G13290;AT5G13930;AT5G18370;AT5G22270;AT5G43470;AT5G45380;AT5G46180;AT5G54940;AT5G54960;AT5G58940;AT5G59890;AT5G60600;AT5G66190"
"upregulated","geometry","GO:0009605","response to external stimulus",1248,32,11.91,3.1e-07,"AT1G08720;AT1G21250;AT1G49050;AT1G69440;AT1G70690;AT1G79670;AT2G01650;AT2G14560;AT2G33550;AT2G40030;AT2G41430;AT3G16640;AT3G16770;AT3G25020;AT3G51430;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G15760;AT4G23130;AT4G23270;AT4G29050;AT4G31550;AT4G37930;AT5G10600;AT5G13290;AT5G43470;AT5G46180;AT5G59890;AT5G60600;AT5G66190"
"upregulated","geometry","GO:0009751","response to salicylic acid",161,11,1.54,4.4e-07,"AT1G08720;AT1G21250;AT2G14560;AT2G17520;AT3G51430;AT3G52430;AT4G14400;AT4G23130;AT4G23270;AT5G43470;AT5G60600"
"upregulated","geometry","GO:0050896","response to stimulus",5696,87,54.36,5.4e-07,"AT1G08720;AT1G12010;AT1G15890;AT1G16890;AT1G21250;AT1G22790;AT1G49050;AT1G63350;AT1G69440;AT1G69730;AT1G70660;AT1G70690;AT1G71040;AT1G79670;AT1G80360;AT1G80420;AT2G01650;AT2G14560;AT2G17520;AT2G25080;AT2G30950;AT2G32520;AT2G33150;AT2G33550;AT2G33590;AT2G34420;AT2G40030;AT2G40300;AT2G41430;AT2G43350;AT2G46590;AT3G05200;AT3G07720;AT3G12040;AT3G12260;AT3G12360;AT3G14230;AT3G16640;AT3G16770;AT3G21560;AT3G22460;AT3G25020;AT3G29035;AT3G44400;AT3G44630;AT3G48170;AT3G51430;AT3G52430;AT3G55830;AT3G61470;AT4G02420;AT4G08920;AT4G13810;AT4G14400;AT4G15760;AT4G16670;AT4G17250;AT4G23130;AT4G23270;AT4G27450;AT4G29050;AT4G31550;AT4G34100;AT4G34600;AT4G35770;AT4G36780;AT4G37930;AT5G05270;AT5G08335;AT5G10600;AT5G12200;AT5G13290;AT5G13930;AT5G18370;AT5G22270;AT5G38990;AT5G39020;AT5G43470;AT5G45380;AT5G46180;AT5G46490;AT5G54940;AT5G54960;AT5G58940;AT5G59890;AT5G60600;AT5G66190"
"upregulated","geometry","GO:0008219","cell death",164,10,1.57,4.1e-06,"AT1G08720;AT2G17520;AT3G16770;AT3G55830;AT4G08920;AT4G14400;AT4G23130;AT4G37930;AT5G43470;AT5G46180"
"upregulated","geometry","GO:0014070","response to organic cyclic compound",338,14,3.23,4.9e-06,"AT1G08720;AT1G21250;AT2G14560;AT2G17520;AT3G51430;AT3G52430;AT4G08920;AT4G14400;AT4G23130;AT4G23270;AT4G36780;AT4G37930;AT5G43470;AT5G60600"
"upregulated","geometry","GO:0009617","response to bacterium",491,17,4.69,5.3e-06,"AT1G08720;AT1G70690;AT2G33550;AT2G41430;AT3G16640;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G23130;AT4G23270;AT4G29050;AT4G31550;AT5G13290;AT5G59890;AT5G60600;AT5G66190"
"upregulated","geometry","GO:0016054","organic acid catabolic process",158,9,1.51,2.2e-05,"AT1G03090;AT1G80360;AT2G33150;AT3G51840;AT4G16210;AT4G34030;AT4G35220;AT4G37930;AT5G46180"
"upregulated","geometry","GO:0046395","carboxylic acid catabolic process",158,9,1.51,2.2e-05,"AT1G03090;AT1G80360;AT2G33150;AT3G51840;AT4G16210;AT4G34030;AT4G35220;AT4G37930;AT5G46180"
"upregulated","geometry","GO:1901700","response to oxygen-containing compound",1601,33,15.28,2.2e-05,"AT1G08720;AT1G12010;AT1G21250;AT2G14560;AT2G17520;AT2G33150;AT2G33590;AT2G40300;AT2G41430;AT2G43350;AT2G46590;AT3G05200;AT3G16640;AT3G16770;AT3G29035;AT3G48170;AT3G51430;AT3G52430;AT3G55830;AT4G08920;AT4G14400;AT4G23130;AT4G23270;AT4G31550;AT4G34100;AT4G35770;AT4G36780;AT4G37930;AT5G08335;AT5G13930;AT5G43470;AT5G58940;AT5G60600"
"upregulated","geometry","GO:0042742","defense response to bacterium",410,14,3.91,4.2e-05,"AT1G08720;AT1G70690;AT3G16640;AT3G52430;AT4G02420;AT4G08920;AT4G14400;AT4G23130;AT4G23270;AT4G29050;AT4G31550;AT5G13290;AT5G59890;AT5G66190"
"upregulated","geometry","GO:0002239","response to oomycetes",98,7,0.94,4.3e-05,"AT1G08720;AT3G25020;AT4G02420;AT4G14400;AT4G29050;AT5G13290;AT5G43470"
"upregulated","geometry","GO:0009987","cellular process",11855,140,113.13,8.5e-05,"AT1G02220;AT1G03090;AT1G03950;AT1G04970;AT1G05300;AT1G08720;AT1G12010;AT1G16720;AT1G16890;AT1G21250;AT1G49240;AT1G55090;AT1G56140;AT1G56460;AT1G63020;AT1G63350;AT1G65260;AT1G66920;AT1G67000;AT1G67260;AT1G69390;AT1G69440;AT1G69730;AT1G70530;AT1G70660;AT1G71040;AT1G72150;AT1G77130;AT1G78620;AT1G79670;AT1G80360;AT1G80420;AT2G17520;AT2G20630;AT2G20725;AT2G23200;AT2G25710;AT2G28890;AT2G30720;AT2G30950;AT2G32260;AT2G33110;AT2G33150;AT2G33470;AT2G33550;AT2G33590;AT2G34420;AT2G36680;AT2G37260;AT2G40030;AT2G40300;AT2G41430;AT2G42040;AT2G43350;AT2G43800;AT2G45980;AT2G46590;AT2G47070;AT3G08650;AT3G12040;AT3G14230;AT3G15290;AT3G16640;AT3G16770;AT3G17470;AT3G17650;AT3G21080;AT3G22460;AT3G25020;AT3G27820;AT3G29035;AT3G44400;AT3G44630;AT3G51840;AT3G52430;AT3G54620;AT3G55110;AT3G55770;AT3G55830;AT3G60180;AT3G61470;AT4G02420;AT4G05060;AT4G08920;AT4G13810;AT4G14070;AT4G14400;AT4G16210;AT4G16670;AT4G17830;AT4G18520;AT4G19420;AT4G22890;AT4G23130;AT4G23270;AT4G27450;AT4G29050;AT4G29950;AT4G31550;AT4G34030;AT4G34100;AT4G34600;AT4G35220;AT4G35300;AT4G36780;AT4G37930;AT4G39180;AT5G07780;AT5G08335;AT5G12200;AT5G13290;AT5G13930;AT5G17700;AT5G22270;AT5G35170;AT5G38990;AT5G39020;AT5G39790;AT5G42300;AT5G43470;AT5G45380;AT5G46180;AT5G46490;AT5G46920;AT5G49650;AT5G49970;AT5G50920;AT5G53850;AT5G54290;AT5G54940;AT5G54960;AT5G57660;AT5G58940;AT5G59890;AT5G60600;AT5G61500;AT5G62850;AT5G63800;AT5G64500;AT5G66190"
"upregulated","geometry","GO:0002229","defense response to oomycetes",78,6,0.74,1e-04,"AT1G08720;AT3G25020;AT4G02420;AT4G14400;AT4G29050;AT5G13290"
"upregulated","geometry","GO:0009620","response to fungus",297,11,2.83,0.00014,"AT1G08720;AT1G21250;AT1G49050;AT1G79670;AT2G01650;AT2G14560;AT2G40030;AT3G25020;AT3G51430;AT4G14400;AT4G15760"
"upregulated","geometry","GO:1901606","alpha-amino acid catabolic process",87,6,0.83,0.00019,"AT1G03090;AT1G80360;AT4G34030;AT4G35220;AT4G37930;AT5G46180"
"upregulated","geometry","GO:0044282","small molecule catabolic process",218,9,2.08,0.00026,"AT1G03090;AT1G80360;AT2G33150;AT3G51840;AT4G16210;AT4G34030;AT4G35220;AT4G37930;AT5G46180"
"upregulated","geometry","GO:0009063","amino acid catabolic process",95,6,0.91,3e-04,"AT1G03090;AT1G80360;AT4G34030;AT4G35220;AT4G37930;AT5G46180"
"upregulated","geometry","GO:0042221","response to chemical",2731,44,26.06,0.00031,"AT1G08720;AT1G12010;AT1G16890;AT1G21250;AT2G14560;AT2G17520;AT2G32520;AT2G33150;AT2G33590;AT2G40300;AT2G41430;AT2G43350;AT2G46590;AT3G05200;AT3G07720;AT3G16640;AT3G16770;AT3G22460;AT3G29035;AT3G48170;AT3G51430;AT3G52430;AT3G55830;AT4G08920;AT4G14400;AT4G23130;AT4G23270;AT4G27450;AT4G31550;AT4G34100;AT4G34600;AT4G35770;AT4G36780;AT4G37930;AT5G08335;AT5G13930;AT5G22270;AT5G38990;AT5G39020;AT5G43470;AT5G54940;AT5G54960;AT5G58940;AT5G60600"
"upregulated","geometry","GO:0071446","cellular response to salicylic acid stim...",65,5,0.62,0.00039,"AT1G08720;AT3G52430;AT4G14400;AT5G43470;AT5G60600"
"upregulated","geometry","GO:1901879","regulation of protein depolymerization",16,3,0.15,0.00044,"AT2G43800;AT3G16640;AT5G07780"
"upregulated","geometry","GO:0044248","cellular catabolic process",399,12,3.81,0.00048,"AT1G03090;AT1G80360;AT2G33150;AT2G45980;AT3G27820;AT3G51840;AT4G16210;AT4G34030;AT4G35220;AT4G37930;AT5G46180;AT5G61500"
"upregulated","geometry","GO:1900424","regulation of defense response to bacter...",41,4,0.39,0.00062,"AT1G08720;AT3G52430;AT4G08920;AT4G14400"
"upregulated","geometry","GO:0051261","protein depolymerization",42,4,0.4,0.00068,"AT2G43800;AT3G16640;AT5G07780;AT5G59890"
"upregulated","geometry","GO:0072593","reactive oxygen species metabolic proces...",115,6,1.1,0.00083,"AT1G04970;AT2G30950;AT3G27820;AT3G52430;AT4G08920;AT5G22270"
"upregulated","geometry","GO:1900426","positive regulation of defense response ...",20,3,0.19,0.00087,"AT3G52430;AT4G08920;AT4G14400"
"upregulated","geometry","GO:0071407","cellular response to organic cyclic comp...",162,7,1.55,0.00095,"AT1G08720;AT3G52430;AT4G14400;AT4G36780;AT4G37930;AT5G43470;AT5G60600"
"upregulated","geometry","GO:0170041","non-proteinogenic amino acid metabolic p...",48,4,0.46,0.00113,"AT4G17830;AT4G35220;AT5G12200;AT5G46180"
"upregulated","geometry","GO:0044281","small molecule metabolic process",1505,27,14.36,0.00115,"AT1G03090;AT1G55090;AT1G78620;AT1G80360;AT2G30720;AT2G33150;AT2G46590;AT3G15290;AT3G17470;AT3G22460;AT3G51840;AT3G52430;AT3G60180;AT4G08920;AT4G14070;AT4G16210;AT4G17830;AT4G34030;AT4G35220;AT4G37930;AT5G12200;AT5G13930;AT5G35170;AT5G46180;AT5G49650;AT5G49970;AT5G53850"
"upregulated","geometry","GO:1900150","regulation of defense response to fungus",22,3,0.21,0.00115,"AT1G08720;AT3G25020;AT4G14400"
"upregulated","geometry","GO:0010039","response to iron ion",23,3,0.22,0.00132,"AT1G16890;AT2G40300;AT4G34600"
"upregulated","geometry","GO:0170039","proteinogenic amino acid metabolic proce...",222,8,2.12,0.00136,"AT1G03090;AT1G80360;AT3G22460;AT4G17830;AT4G34030;AT4G37930;AT5G46180;AT5G53850"
"upregulated","geometry","GO:0051716","cellular response to stimulus",2594,40,24.75,0.00143,"AT1G08720;AT1G12010;AT1G16890;AT1G21250;AT1G69730;AT1G70660;AT1G71040;AT1G79670;AT1G80420;AT2G17520;AT2G33150;AT2G33550;AT2G33590;AT2G41430;AT2G43350;AT2G46590;AT3G12040;AT3G16770;AT3G25020;AT3G44400;AT3G44630;AT3G52430;AT4G08920;AT4G13810;AT4G14400;AT4G16670;AT4G27450;AT4G31550;AT4G36780;AT4G37930;AT5G08335;AT5G12200;AT5G22270;AT5G43470;AT5G45380;AT5G46180;AT5G46490;AT5G54940;AT5G54960;AT5G60600"
"upregulated","geometry","GO:0050832","defense response to fungus",224,8,2.14,0.00144,"AT1G08720;AT1G21250;AT1G49050;AT2G01650;AT2G14560;AT2G40030;AT3G25020;AT4G14400"
"upregulated","geometry","GO:0009615","response to virus",87,5,0.83,0.00148,"AT1G21250;AT1G69440;AT3G51430;AT4G14400;AT5G43470"
"upregulated","geometry","GO:0043244","regulation of protein-containing complex...",24,3,0.23,0.0015,"AT2G43800;AT3G16640;AT5G07780"
"upregulated","geometry","GO:2000031","regulation of salicylic acid mediated si...",24,3,0.23,0.0015,"AT1G08720;AT3G52430;AT4G14400"
"upregulated","geometry","GO:0006796","phosphate-containing compound metabolic ...",1864,31,17.79,0.00167,"AT1G08720;AT1G21250;AT1G55090;AT1G56140;AT1G66920;AT1G67000;AT1G69730;AT1G70530;AT1G79670;AT2G17520;AT2G20630;AT2G23200;AT2G28890;AT2G30720;AT2G32260;AT3G17470;AT3G60180;AT4G02420;AT4G08920;AT4G23130;AT4G23270;AT4G29050;AT4G39180;AT5G13290;AT5G35170;AT5G38990;AT5G39020;AT5G49650;AT5G49970;AT5G58940;AT5G60600"
"upregulated","geometry","GO:0006793","phosphorus metabolic process",1869,31,17.84,0.00174,"AT1G08720;AT1G21250;AT1G55090;AT1G56140;AT1G66920;AT1G67000;AT1G69730;AT1G70530;AT1G79670;AT2G17520;AT2G20630;AT2G23200;AT2G28890;AT2G30720;AT2G32260;AT3G17470;AT3G60180;AT4G02420;AT4G08920;AT4G23130;AT4G23270;AT4G29050;AT4G39180;AT5G13290;AT5G35170;AT5G38990;AT5G39020;AT5G49650;AT5G49970;AT5G58940;AT5G60600"
"upregulated","geometry","GO:0006520","amino acid metabolic process",404,11,3.86,0.00181,"AT1G03090;AT1G72190;AT1G80360;AT3G22460;AT4G17830;AT4G34030;AT4G35220;AT4G37930;AT5G12200;AT5G46180;AT5G53850"
"upregulated","geometry","GO:1901605","alpha-amino acid metabolic process",288,9,2.75,0.00186,"AT1G03090;AT1G80360;AT3G22460;AT4G17830;AT4G34030;AT4G35220;AT4G37930;AT5G46180;AT5G53850"
"upregulated","geometry","GO:0030042","actin filament depolymerization",26,3,0.25,0.00189,"AT2G43800;AT5G07780;AT5G59890"
"upregulated","geometry","GO:0170033","L-amino acid metabolic process",235,8,2.24,0.00194,"AT1G03090;AT1G80360;AT3G22460;AT4G17830;AT4G34030;AT4G37930;AT5G46180;AT5G53850"
"upregulated","geometry","GO:1901701","cellular response to oxygen-containing c...",608,14,5.8,0.00219,"AT1G08720;AT1G12010;AT2G33150;AT2G43350;AT2G46590;AT3G52430;AT4G08920;AT4G14400;AT4G31550;AT4G36780;AT4G37930;AT5G08335;AT5G43470;AT5G60600"
"upregulated","geometry","GO:0012501","programmed cell death",141,6,1.35,0.00237,"AT2G17520;AT4G08920;AT4G23130;AT4G37930;AT5G43470;AT5G46180"
"upregulated","geometry","GO:0046777","protein autophosphorylation",192,7,1.83,0.00252,"AT1G08720;AT1G56140;AT1G70530;AT2G17520;AT2G23200;AT4G08920;AT5G38990"
"upregulated","geometry","GO:0009863","salicylic acid mediated signaling pathwa...",60,4,0.57,0.00259,"AT1G08720;AT3G52430;AT4G14400;AT5G60600"
"upregulated","geometry","GO:0019684","photosynthesis, light reaction",146,6,1.39,0.00282,"AT1G16720;AT2G30950;AT2G34420;AT3G61470;AT4G22890;AT5G66190"
"upregulated","geometry","GO:0010038","response to metal ion",435,11,4.15,0.00319,"AT1G16890;AT2G32520;AT2G33590;AT2G40300;AT3G07720;AT3G16640;AT3G22460;AT4G34600;AT4G37930;AT5G38990;AT5G39020"
"upregulated","geometry","GO:0170035","L-amino acid catabolic process",64,4,0.61,0.00327,"AT1G03090;AT4G34030;AT4G37930;AT5G46180"
"upregulated","geometry","GO:0170040","proteinogenic amino acid catabolic proce...",64,4,0.61,0.00327,"AT1G03090;AT4G34030;AT4G37930;AT5G46180"
"upregulated","geometry","GO:0070542","response to fatty acid",203,7,1.94,0.00343,"AT1G12010;AT3G16770;AT3G51430;AT3G52430;AT4G31550;AT4G35770;AT5G13930"
"upregulated","geometry","GO:0009644","response to high light intensity",65,4,0.62,0.00346,"AT2G30950;AT2G41430;AT3G61470;AT4G08920"
"upregulated","geometry","GO:0009642","response to light intensity",153,6,1.46,0.00355,"AT1G22790;AT2G30950;AT2G41430;AT3G61470;AT4G08920;AT5G43470"
"upregulated","geometry","GO:0002831","regulation of response to biotic stimulu...",155,6,1.48,0.00378,"AT1G08720;AT3G25020;AT3G52430;AT4G08920;AT4G14400;AT5G43470"
"upregulated","geometry","GO:0032101","regulation of response to external stimu...",155,6,1.48,0.00378,"AT1G08720;AT3G25020;AT3G52430;AT4G08920;AT4G14400;AT5G43470"
"upregulated","geometry","GO:1902903","regulation of supramolecular fiber organ...",33,3,0.31,0.00378,"AT2G43800;AT3G16640;AT5G07780"
"upregulated","geometry","GO:1901880","negative regulation of protein depolymer...",10,2,0.1,0.00388,"AT2G43800;AT5G07780"
"upregulated","geometry","GO:0070887","cellular response to chemical stimulus",1167,21,11.14,0.00399,"AT1G08720;AT1G12010;AT2G33150;AT2G33590;AT2G41430;AT2G43350;AT2G46590;AT3G16770;AT3G52430;AT4G08920;AT4G14400;AT4G27450;AT4G31550;AT4G36780;AT4G37930;AT5G08335;AT5G22270;AT5G43470;AT5G54940;AT5G54960;AT5G60600"
"upregulated","geometry","GO:0019752","carboxylic acid metabolic process",870,17,8.3,0.00421,"AT1G03090;AT1G80360;AT2G33150;AT2G46590;AT3G15290;AT3G22460;AT3G51840;AT3G52430;AT4G14070;AT4G16210;AT4G17830;AT4G34030;AT4G35220;AT4G37930;AT5G12200;AT5G46180;AT5G53850"
"upregulated","geometry","GO:0009080","pyruvate family amino acid catabolic pro...",11,2,0.1,0.00471,"AT1G03090;AT4G34030"
"upregulated","geometry","GO:0043242","negative regulation of protein-containin...",11,2,0.1,0.00471,"AT2G43800;AT5G07780"
"upregulated","geometry","GO:0120254","olefinic compound metabolic process",73,4,0.7,0.00525,"AT1G12010;AT1G80360;AT3G21560;AT5G13930"
"upregulated","geometry","GO:0016310","phosphorylation",1119,20,10.68,0.00531,"AT1G08720;AT1G21250;AT1G56140;AT1G66920;AT1G67000;AT1G69730;AT1G70530;AT1G79670;AT2G17520;AT2G23200;AT4G02420;AT4G08920;AT4G23130;AT4G23270;AT4G29050;AT5G13290;AT5G38990;AT5G39020;AT5G49650;AT5G58940"
